               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10378,            0.066725,             0.02067,            0.020873,            0.027067,           0.0055901,           0.0013623,             0.10056,            0.037679,            0.019038,            0.070086,           0.0033238,           0.0033238
                   1,            0.092529,            0.063797,            0.017027,              0.6651,             0.14788,             0.13028,            0.045718,            0.074357,            0.037776,            0.018431,             0.04002,           0.0065912,           0.0065912
                   2,            0.078071,            0.060931,            0.016195,             0.39925,             0.40592,             0.33957,             0.13119,            0.066473,            0.033225,            0.016182,           0.0098884,           0.0097926,           0.0097926
                   3,            0.067631,             0.05626,            0.011646,             0.66537,             0.47657,             0.50689,             0.19629,            0.061029,            0.029142,           0.0079007,            0.009703,            0.009703,            0.009703
                   4,            0.061051,            0.053724,           0.0080545,             0.79258,             0.54178,             0.63285,             0.28303,              0.0519,            0.026381,           0.0067334,            0.009703,            0.009703,            0.009703
                   5,            0.056408,            0.052251,             0.00709,             0.80322,             0.60883,             0.68995,             0.33513,            0.047641,            0.024395,           0.0050313,            0.009604,            0.009604,            0.009604
                   6,            0.053509,            0.050872,           0.0064028,             0.81719,             0.63022,             0.71014,             0.33999,            0.046289,            0.024292,           0.0046911,            0.009505,            0.009505,            0.009505
                   7,            0.051575,            0.049316,           0.0060923,             0.82555,             0.61362,             0.70896,             0.33549,            0.045542,            0.024577,           0.0050526,            0.009406,            0.009406,            0.009406
                   8,            0.050043,            0.049129,           0.0057214,             0.80067,             0.67369,              0.7418,              0.3808,            0.042978,            0.023095,           0.0039805,            0.009307,            0.009307,            0.009307
                   9,            0.048141,            0.047365,           0.0053893,             0.84043,             0.65327,             0.74813,             0.38754,             0.04243,            0.022613,           0.0037997,            0.009208,            0.009208,            0.009208
                  10,            0.047232,            0.048368,           0.0050907,             0.85373,             0.66702,             0.76181,             0.40267,            0.040718,            0.022078,           0.0042613,            0.009109,            0.009109,            0.009109
                  11,            0.046355,            0.046621,           0.0048652,             0.86979,             0.69942,             0.78893,             0.42266,            0.040639,            0.021459,           0.0035279,             0.00901,             0.00901,             0.00901
                  12,            0.045567,            0.046015,           0.0046239,             0.86131,              0.7029,             0.78721,             0.41421,            0.040921,            0.021738,           0.0032593,            0.008911,            0.008911,            0.008911
                  13,            0.044975,            0.046111,           0.0045358,             0.85021,             0.72526,             0.81043,              0.4444,            0.038628,            0.021305,           0.0032508,            0.008812,            0.008812,            0.008812
                  14,            0.043869,            0.045457,           0.0043228,             0.86921,             0.72007,             0.80504,             0.43928,            0.039008,             0.02078,           0.0032556,            0.008713,            0.008713,            0.008713
                  15,            0.043809,            0.045292,            0.004295,             0.87064,             0.72016,             0.80617,             0.44512,            0.038827,            0.021049,           0.0031527,            0.008614,            0.008614,            0.008614
                  16,             0.04312,            0.044644,           0.0041862,             0.86749,             0.73616,             0.81086,             0.43241,            0.038585,            0.021077,           0.0026821,            0.008515,            0.008515,            0.008515
                  17,            0.042921,              0.0443,           0.0041075,             0.85534,             0.74991,             0.81546,             0.44264,            0.038642,            0.020367,           0.0025401,            0.008416,            0.008416,            0.008416
                  18,             0.04218,            0.044058,           0.0040631,             0.85915,             0.74974,             0.82237,             0.44805,            0.038051,            0.021294,           0.0025048,            0.008317,            0.008317,            0.008317
                  19,            0.041835,            0.043642,           0.0039823,             0.86726,             0.75043,             0.82478,              0.4487,            0.037867,            0.020696,           0.0025847,            0.008218,            0.008218,            0.008218
                  20,            0.041444,            0.043847,           0.0039072,              0.8819,             0.74636,             0.82546,             0.44891,            0.038149,            0.020231,           0.0022898,            0.008119,            0.008119,            0.008119
                  21,            0.041315,            0.043257,           0.0036947,             0.87465,             0.76694,             0.83596,             0.46168,            0.036952,            0.020156,           0.0025486,             0.00802,             0.00802,             0.00802
                  22,            0.040821,            0.043901,           0.0035029,             0.87696,              0.7668,             0.83867,             0.46602,            0.037072,             0.02004,           0.0025701,            0.007921,            0.007921,            0.007921
                  23,            0.040801,            0.043353,           0.0036382,             0.87189,             0.76639,              0.8326,              0.4644,            0.036582,            0.019916,           0.0022982,            0.007822,            0.007822,            0.007822
